dmel	dana	dvir	dpse	dsec	dwil	dper	dyak	dsim	dere	dgri	dmoj
dmel-FBgn0033570	dana-FBgn0141172	dvir-FBgn0090421	dpse-FBgn0208637	dsec-FBgn0080529	dwil-FBgn0175365	dper-FBgn0217677	dyak-FBgn0154693	dsim-FBgn0230767	dere-FBgn0186924	dgri-FBgn0114872	dmoj-FBgn0130399
dmel-FBgn0033571	dana-FBgn0142498	dvir-FBgn0089482	dpse-FBgn0205360	dsec-FBgn0244005	dwil-FBgn0175364	dper-FBgn0222661	dyak-FBgn0154086	dsim-FBgn0230766	dere-FBgn0186925	dgri-FBgn0114871	dmoj-FBgn0128030
dmel-FBgn0033572	dana-FBgn0142490	dvir-FBgn0089557	dpse-FBgn0205283	dsec-FBgn0071975	dwil-FBgn0176130	dper-FBgn0222660	dyak-FBgn0157495	dsim-FBgn0230568	dere-FBgn0187055	dgri-FBgn0112354	dmoj-FBgn0128783
dmel-FBgn0033573	dana-FBgn0142491	dvir-FBgn0089558	dpse-FBgn0071976	dsec-FBgn0176131	dwil-FBgn0222939	dper-FBgn0157505	dyak-FBgn0230570	dsim-FBgn0182529	dere-FBgn0112355		dmoj-Obp47a
dmel-FBgn0033574	dana-FBgn0142497	dvir-FBgn0089481	dpse-FBgn0205351	dsec-FBgn0243622	dwil-FBgn0080538	dper-FBgn0175360	dyak-FBgn0222658	dsim-FBgn0158242	dere-FBgn0230763	dgri-FBgn0197224	dmoj-FBgn0114868
dmel-FBgn0033578	dana-FBgn0142512	dvir-FBgn0089561	dpse-FBgn0204811	dsec-FBgn0072191	dwil-FBgn0176134	dper-FBgn0222942	dyak-FBgn0157527	dsim-FBgn0230573	dere-FBgn0182532	dgri-FBgn0112358	dmoj-FBgn0128749
dmel-FBgn0033579	dana-FBgn0142474	dvir-FBgn0089476	dpse-FBgn0205605	dsec-FBgn0072188	dwil-FBgn0175356	dper-FBgn0222655	dyak-FBgn0158239	dsim-FBgn0230756	dere-FBgn0197220	dgri-FBgn0114864	dmoj-FBgn0128056
dmel-FBgn0033580	dana-FBgn0142513	dvir-FBgn0096808	dpse-FBgn0204822	dsec-FBgn0072190	dwil-FBgn0176135	dper-FBgn0222943	dyak-FBgn0157538	dsim-FBgn0230574	dere-FBgn0182533	dgri-FBgn0112359	dmoj-FBgn0128750
dmel-FBgn0033581	dana-FBgn0142473	dvir-FBgn0089474	dpse-FBgn0205601	dsec-FBgn0071655	dwil-FBgn0175355	dper-FBgn0222654	dyak-FBgn0158238	dsim-FBgn0068463	dere-FBgn0197219	dgri-FBgn0114863	dmoj-FBgn0128053
dmel-FBgn0033582	dana-FBgn0142472	dvir-FBgn0089473	dpse-FBgn0205594	dsec-FBgn0081515	dwil-FBgn0175354	dper-FBgn0222653	dyak-FBgn0158237	dsim-FBgn0230755	dere-FBgn0197218	dgri-FBgn0114862	dmoj-FBgn0128052
dmel-FBgn0033584	dana-FBgn0142629	dvir-FBgn0089565	dpse-FBgn0202260	dsec-FBgn0080547	dwil-FBgn0176140	dper-FBgn0221320	dyak-FBgn0157573	dsim-FBgn0230578	dere-FBgn0182537	dgri-FBgn0112364	dmoj-FBgn0127399
dmel-FBgn0033588	dana-FBgn0089566	dvir-FBgn0176141	dpse-FBgn0182538	dsec-FBgn0112365				dsim-GD10774	dere-GG20171		
dmel-FBgn0033589	dana-FBgn0089567	dvir-FBgn0246269	dpse-FBgn0176142	dsec-FBgn0155315	dwil-FBgn0112366	dper-GL17712			dere-GG20172		
dmel-FBgn0033590	dana-FBgn0089470	dvir-FBgn0265020	dpse-FBgn0175351	dsec-FBgn0230752	dwil-FBgn0197215	dper-FBgn0129411	dyak-GE13047	dsim-GD25938		dgri-GH21950	
dmel-FBgn0033591	dana-FBgn0142394	dvir-FBgn0089468	dpse-FBgn0202220	dsec-FBgn0072177	dwil-FBgn0175349	dper-FBgn0222649	dyak-FBgn0154361	dsim-FBgn0230750	dere-FBgn0197213	dgri-FBgn0114855	dmoj-FBgn0129410
dmel-FBgn0033592	dana-FBgn0142392	dvir-FBgn0142393	dpse-FBgn0089467	dsec-FBgn0202219	dwil-FBgn0072176	dper-FBgn0175348	dyak-FBgn0222647	dsim-FBgn0154358	dere-FBgn0230749	dgri-FBgn0197212	dmoj-FBgn0114854
dmel-FBgn0033593	dana-FBgn0081512	dvir-FBgn0175347	dpse-FBgn0154357	dsec-FBgn0230747	dwil-FBgn0114853	dper-GL16753	dyak-GE13042		dere-GG22688		
dmel-FBgn0033597	dana-FBgn0142387	dvir-FBgn0089464	dpse-FBgn0202216	dsec-FBgn0081511	dwil-FBgn0175346	dper-FBgn0222644	dyak-FBgn0154356	dsim-FBgn0230746	dere-FBgn0268426	dgri-FBgn0114851	dmoj-FBgn0129404
dmel-FBgn0033598	dana-FBgn0142641	dvir-FBgn0089574	dpse-FBgn0202272	dsec-FBgn0072184	dwil-FBgn0176151	dper-FBgn0222950	dyak-FBgn0155323	dsim-FBgn0230587	dere-FBgn0182546	dgri-FBgn0112376	dmoj-FBgn0127411
dmel-FBgn0033599	dana-FBgn0089575	dvir-FBgn0072183	dpse-FBgn0176152	dsec-FBgn0155324	dwil-FBgn0230588	dper-FBgn0182547	dyak-FBgn0112377	dsim-GD10783	dere-GG20183		
dmel-FBgn0033600	dana-FBgn0142386	dvir-FBgn0089463	dpse-FBgn0202215	dsec-FBgn0081509	dwil-FBgn0175345	dper-FBgn0222642	dyak-FBgn0154355	dsim-FBgn0230745	dere-FBgn0197209	dgri-FBgn0114850	dmoj-FBgn0129403
dmel-FBgn0033601	dana-FBgn0281001	dvir-FBgn0089462	dpse-FBgn0202214	dsec-FBgn0081508	dwil-FBgn0175344	dper-FBgn0154354	dyak-FBgn0230744	dsim-FBgn0197208	dere-FBgn0114849	dgri-FBgn0129402	dmoj-GI26264
dmel-FBgn0033602	dana-FBgn0142642	dvir-FBgn0089576	dpse-FBgn0282679	dsec-FBgn0072182	dwil-FBgn0176153	dper-FBgn0222951	dyak-FBgn0155325	dsim-FBgn0230589	dere-FBgn0182548	dgri-FBgn0112378	dmoj-FBgn0127412
dmel-FBgn0033603	dana-FBgn0142385	dvir-FBgn0089461	dpse-FBgn0202213	dsec-FBgn0245680	dwil-FBgn0175343	dper-FBgn0223620	dyak-FBgn0154353	dsim-FBgn0230743	dere-FBgn0197207	dgri-FBgn0114848	dmoj-FBgn0129401
dmel-FBgn0033605	dana-FBgn0142382	dvir-FBgn0089458	dpse-FBgn0202210	dsec-FBgn0081502	dwil-FBgn0175339	dper-FBgn0223616	dyak-FBgn0154350	dsim-FBgn0230741	dere-FBgn0197203	dgri-FBgn0114844	dmoj-FBgn0129398
dmel-FBgn0033607	dana-FBgn0142381	dvir-FBgn0089457	dpse-FBgn0202209	dsec-FBgn0081497	dwil-FBgn0175338	dper-FBgn0223615	dyak-FBgn0154349	dsim-FBgn0230740	dere-FBgn0197202	dgri-FBgn0114843	dmoj-FBgn0129397
dmel-FBgn0033608	dana-FBgn0142644	dvir-FBgn0089578	dpse-FBgn0202274	dsec-FBgn0072180	dwil-FBgn0176155	dper-FBgn0181569	dyak-FBgn0223669	dsim-FBgn0155327	dere-FBgn0230591	dgri-FBgn0182549	dmoj-FBgn0112379
dmel-FBgn0033609	dana-FBgn0142380	dvir-FBgn0089456	dpse-FBgn0202208	dsec-FBgn0072174	dwil-FBgn0175337	dper-FBgn0223614	dyak-FBgn0154347	dsim-FBgn0230739	dere-FBgn0197201	dgri-FBgn0114842	dmoj-FBgn0129396
dmel-FBgn0033610	dana-FBgn0142378	dvir-FBgn0089455	dpse-FBgn0202207	dsec-FBgn0074919	dwil-FBgn0175336	dper-FBgn0223613	dyak-FBgn0154346	dsim-FBgn0230737	dere-FBgn0197200	dgri-FBgn0114841	dmoj-FBgn0129395
dmel-FBgn0033614	dana-FBgn0142610	dvir-FBgn0089448	dpse-FBgn0202242	dsec-FBgn0072170	dwil-FBgn0175330	dper-FBgn0224092	dyak-FBgn0154950	dsim-FBgn0230731	dere-FBgn0197194	dgri-FBgn0114834	dmoj-FBgn0127380
dmel-FBgn0033615	dana-FBgn0142410	dvir-FBgn0089579	dpse-FBgn0202238	dsec-FBgn0246361	dwil-FBgn0176157	dper-FBgn0224174	dyak-FBgn0154740	dsim-FBgn0230593	dere-FBgn0182551	dgri-FBgn0112381	dmoj-FBgn0129431
dmel-FBgn0033616	dana-FBgn0142411	dvir-FBgn0089580	dpse-FBgn0202239	dsec-FBgn0080553	dwil-FBgn0176158	dper-FBgn0224175	dyak-FBgn0154741	dsim-FBgn0230594	dere-FBgn0182552	dgri-FBgn0112382	dmoj-FBgn0129432
dmel-FBgn0033623	dana-FBgn0143972	dvir-FBgn0089438	dpse-FBgn0207983	dsec-FBgn0072165	dwil-FBgn0175320	dper-FBgn0221451	dyak-FBgn0154940	dsim-FBgn0231197	dere-FBgn0186922	dgri-FBgn0114828	dmoj-FBgn0130320
dmel-FBgn0033624	dana-FBgn0143971	dvir-FBgn0089437	dpse-FBgn0207982	dsec-FBgn0071647	dwil-FBgn0175319	dper-FBgn0221450	dyak-FBgn0154939	dsim-FBgn0068464	dere-FBgn0186921	dgri-FBgn0114827	dmoj-FBgn0130319
dmel-FBgn0033627	dana-FBgn0141300	dvir-FBgn0089588	dpse-FBgn0207494	dsec-FBgn0245635	dwil-FBgn0246348	dper-FBgn0176167	dyak-FBgn0225060	dsim-FBgn0149297	dere-FBgn0230107	dgri-FBgn0182557	dmoj-FBgn0112390
dmel-FBgn0033628	dana-FBgn0141301	dvir-FBgn0089589	dpse-FBgn0207495	dsec-FBgn0072166	dwil-FBgn0176168	dper-FBgn0223407	dyak-FBgn0149298	dsim-FBgn0230108	dere-FBgn0182558	dgri-FBgn0112391	dmoj-FBgn0121416
dmel-FBgn0033629	dana-FBgn0143787	dvir-FBgn0089434	dpse-FBgn0209091	dsec-FBgn0081479	dwil-FBgn0175316	dper-FBgn0223873	dyak-FBgn0148008	dsim-FBgn0231193	dere-FBgn0197183	dgri-FBgn0114823	dmoj-FBgn0127972
dmel-FBgn0033631	dana-FBgn0143783	dvir-FBgn0089433	dpse-FBgn0209089	dsec-FBgn0264759	dwil-FBgn0175314	dper-FBgn0215572	dyak-FBgn0223871	dsim-FBgn0148007	dere-FBgn0231191	dgri-FBgn0197181	dmoj-FBgn0114821
dmel-FBgn0033633	dana-FBgn0141302	dvir-FBgn0089591	dpse-FBgn0207496	dsec-FBgn0080561	dwil-FBgn0176169	dper-FBgn0223408	dyak-FBgn0149299	dsim-FBgn0230109	dere-FBgn0182559	dgri-FBgn0112393	dmoj-FBgn0128848
dmel-FBgn0033635	dana-FBgn0141303	dvir-FBgn0089592	dpse-FBgn0207498	dsec-FBgn0080574	dwil-FBgn0176172	dper-FBgn0223409	dyak-FBgn0149019	dsim-FBgn0068240	dere-FBgn0182561	dgri-FBgn0112394	dmoj-FBgn0128849
dmel-FBgn0033636	dana-FBgn0143772	dvir-FBgn0089428	dpse-FBgn0209083	dsec-FBgn0070679	dwil-FBgn0175304	dper-FBgn0224209	dyak-FBgn0148286	dsim-FBgn0231179	dere-FBgn0197174	dgri-FBgn0114812	dmoj-FBgn0127960
dmel-FBgn0033638	dana-FBgn0143770	dvir-FBgn0088830	dpse-FBgn0209080	dsec-FBgn0081457	dwil-FBgn0175301	dper-FBgn0223623	dyak-FBgn0148284	dsim-FBgn0231177	dere-FBgn0197172	dgri-FBgn0114810	dmoj-FBgn0127958
dmel-FBgn0033639	dana-FBgn0143769	dvir-FBgn0088829	dpse-FBgn0209079	dsec-FBgn0081455	dwil-FBgn0175299	dper-FBgn0223622	dyak-FBgn0148283	dsim-FBgn0231176	dere-FBgn0197171	dgri-FBgn0114809	dmoj-FBgn0127956
dmel-FBgn0033640	dana-FBgn0141310	dvir-FBgn0090146	dpse-FBgn0207505	dsec-FBgn0072161	dwil-FBgn0176178	dper-FBgn0224096	dyak-FBgn0149027	dsim-FBgn0230118	dere-FBgn0182568	dgri-FBgn0112402	dmoj-GI18571
dmel-FBgn0033644	dana-FBgn0176180	dvir-FBgn0182571		dsec-GM21299				dsim-GD10808			
dmel-FBgn0033645	dana-FBgn0143719	dvir-FBgn0090442	dpse-FBgn0207843	dsec-FBgn0072159	dwil-FBgn0175297	dper-FBgn0219923	dyak-FBgn0147865	dsim-FBgn0231174	dere-FBgn0197169	dgri-FBgn0114806	dmoj-FBgn0128336
dmel-FBgn0033648	dana-FBgn0141120	dvir-FBgn0090439	dpse-FBgn0208584	dsec-FBgn0072158	dwil-FBgn0175294	dper-FBgn0219921	dyak-FBgn0147862	dsim-FBgn0231170	dere-FBgn0197166	dgri-FBgn0114804	dmoj-FBgn0130355
dmel-FBgn0033649	dana-FBgn0144002	dvir-FBgn0088496	dpse-FBgn0208010	dsec-FBgn0072157	dwil-FBgn0176184	dper-FBgn0219880	dyak-FBgn0230122	dsim-FBgn0112407	dere-FBgn0130345	dgri-GH22888	dmoj-GI21272
dmel-FBgn0033650	dana-FBgn0144004	dvir-FBgn0088495	dpse-FBgn0072156	dsec-FBgn0176185	dwil-FBgn0219881	dper-FBgn0147692	dyak-FBgn0230123	dsim-FBgn0182575	dere-FBgn0112408		dmoj-GI21274
dmel-FBgn0033651	dana-FBgn0090437	dvir-FBgn0071690	dpse-FBgn0175292	dsec-FBgn0219919	dwil-FBgn0147861	dper-FBgn0231168	dyak-FBgn0197164	dsim-FBgn0114802	dere-GG22631		
dmel-FBgn0033652	dana-FBgn0144005	dvir-FBgn0088497	dpse-FBgn0208013	dsec-FBgn0071689	dwil-FBgn0176186	dper-FBgn0219882	dyak-FBgn0147695	dsim-FBgn0147694	dere-FBgn0230125	dgri-FBgn0182577	dmoj-FBgn0112410
dmel-FBgn0033653	dana-FBgn0144006	dvir-FBgn0088498	dpse-FBgn0208014	dsec-FBgn0072155	dwil-FBgn0176187	dper-FBgn0219883	dyak-FBgn0147696	dsim-FBgn0230127	dere-FBgn0182578	dgri-FBgn0112411	dmoj-FBgn0130347
dmel-FBgn0033654	dana-FBgn0143999	dvir-FBgn0090436	dpse-FBgn0208008	dsec-FBgn0081446	dwil-FBgn0175291	dper-FBgn0219918	dyak-FBgn0147860	dsim-FBgn0231167	dere-FBgn0197163	dgri-FBgn0114801	dmoj-FBgn0131171
dmel-FBgn0033656	dana-FBgn0143998	dvir-FBgn0090435	dpse-FBgn0208007	dsec-FBgn0081444	dwil-FBgn0175290	dper-FBgn0219917	dyak-FBgn0147859	dsim-FBgn0231166	dere-FBgn0197162	dgri-FBgn0114800	dmoj-FBgn0130340
dmel-FBgn0033657	dana-FBgn0141129	dvir-FBgn0088500	dpse-FBgn0208593	dsec-FBgn0080934	dwil-FBgn0176190	dper-FBgn0219885	dyak-FBgn0147698	dsim-FBgn0230130	dere-FBgn0182581	dgri-FBgn0112415	dmoj-FBgn0132342
dmel-FBgn0033658	dana-FBgn0143997	dvir-FBgn0088846	dpse-FBgn0208005	dsec-FBgn0081442	dwil-FBgn0175289	dper-FBgn0219916	dyak-FBgn0147858	dsim-FBgn0231165	dere-FBgn0197160	dgri-FBgn0114799	dmoj-FBgn0130339
dmel-FBgn0033659	dana-FBgn0088845	dvir-FBgn0263817	dpse-FBgn0175288	dsec-FBgn0068170	dwil-FBgn0197159	dper-FBgn0114798	dyak-Damm	dsim-GD25880	dere-GG22627		
dmel-FBgn0033661	dana-FBgn0142331	dvir-FBgn0088844	dpse-FBgn0205551	dsec-FBgn0245537	dwil-FBgn0175287	dper-FBgn0166614	dyak-FBgn0224238	dsim-FBgn0147856	dere-FBgn0231162	dgri-FBgn0197157	dmoj-FBgn0114795
dmel-FBgn0033663	dana-FBgn0142330	dvir-FBgn0088843	dpse-FBgn0205549	dsec-FBgn0245536	dwil-FBgn0175286	dper-FBgn0224237	dyak-FBgn0147855	dsim-FBgn0231161	dere-FBgn0083436	dgri-FBgn0114794	dmoj-FBgn0127868
dmel-FBgn0033665	dana-FBgn0142694	dvir-FBgn0090139	dpse-FBgn0205066	dsec-FBgn0072152	dwil-FBgn0176198	dper-FBgn0224034	dyak-FBgn0147703	dsim-FBgn0230136	dere-FBgn0182586	dgri-FBgn0112421	dmoj-FBgn0128941
dmel-FBgn0033667	dana-FBgn0142327	dvir-FBgn0088839	dpse-FBgn0205528	dsec-FBgn0072148	dwil-FBgn0175283	dper-FBgn0224235	dyak-FBgn0147852	dsim-FBgn0231158	dere-FBgn0197154	dgri-FBgn0114791	dmoj-FBgn0127866
dmel-FBgn0033668	dana-FBgn0142695	dvir-FBgn0090140	dpse-FBgn0205077	dsec-FBgn0246457	dwil-FBgn0176200	dper-FBgn0224035	dyak-FBgn0147704	dsim-FBgn0230138	dere-FBgn0182590	dgri-FBgn0112422	dmoj-FBgn0128942
dmel-FBgn0033669	dana-FBgn0142326	dvir-FBgn0088838	dpse-FBgn0205517	dsec-FBgn0081437	dwil-FBgn0175282	dper-FBgn0224234	dyak-FBgn0147851	dsim-FBgn0231157	dere-FBgn0197153	dgri-FBgn0114790	dmoj-FBgn0127865
dmel-FBgn0033672	dana-FBgn0142322	dvir-FBgn0088835	dpse-FBgn0205484	dsec-FBgn0081433	dwil-FBgn0175277	dper-FBgn0224231	dyak-FBgn0157619	dsim-FBgn0231153	dere-FBgn0197149	dgri-FBgn0114785	dmoj-FBgn0127862
dmel-FBgn0033673	dana-FBgn0143690	dvir-FBgn0089320	dpse-FBgn0207815	dsec-FBgn0080955	dwil-FBgn0176205	dper-FBgn0221494	dyak-FBgn0148127	dsim-FBgn0068225	dere-FBgn0182594	dgri-FBgn0112426	dmoj-FBgn0128313
dmel-FBgn0033677	dana-FBgn0143693	dvir-FBgn0089322	dpse-FBgn0207818	dsec-FBgn0080974	dwil-FBgn0176207	dper-FBgn0223328	dyak-FBgn0148130	dsim-FBgn0230142	dere-FBgn0182596	dgri-FBgn0112429	dmoj-FBgn0128315
dmel-FBgn0033679	dana-FBgn0141384	dvir-FBgn0089682	dpse-FBgn0208780	dsec-FBgn0081380	dwil-FBgn0175272	dper-FBgn0223965	dyak-FBgn0154990	dsim-FBgn0231147	dere-FBgn0197143	dgri-FBgn0114781	dmoj-FBgn0128505
dmel-FBgn0033680	dana-FBgn0143700	dvir-FBgn0089327	dpse-FBgn0207824	dsec-FBgn0072150	dwil-FBgn0176212	dper-FBgn0223333	dyak-FBgn0154702	dsim-FBgn0230149	dere-FBgn0182602	dgri-FBgn0112435	dmoj-FBgn0128321
dmel-FBgn0033683	dana-FBgn0176213	dvir-FBgn0230150	dpse-FBgn0182603	dsec-FBgn0112437			dyak-GE12405	dsim-GD10840	dere-GG20246		
dmel-FBgn0033685	dana-FBgn0141382	dvir-FBgn0089679	dpse-FBgn0208776	dsec-FBgn0072146	dwil-FBgn0175268	dper-FBgn0221491	dyak-FBgn0155084	dsim-FBgn0231144	dere-FBgn0268326	dgri-FBgn0114778	dmoj-FBgn0128502
dmel-FBgn0033686	dana-FBgn0142870	dvir-FBgn0089330	dpse-FBgn0207046	dsec-FBgn0071636	dwil-FBgn0176216	dper-FBgn0224967	dyak-FBgn0148689	dsim-FBgn0230152	dere-FBgn0187066	dgri-FBgn0112439	dmoj-FBgn0127179
dmel-FBgn0033687	dana-FBgn0142871	dvir-FBgn0089332	dpse-FBgn0207047	dsec-FBgn0081042	dwil-FBgn0176217	dper-FBgn0224968	dyak-FBgn0148690	dsim-FBgn0230153	dere-FBgn0187065	dgri-FBgn0112440	dmoj-FBgn0127180
dmel-FBgn0033688	dana-FBgn0142119	dvir-FBgn0089677	dpse-FBgn0209553	dsec-FBgn0081372	dwil-FBgn0175266	dper-FBgn0225181	dyak-FBgn0148636	dsim-FBgn0231142	dere-FBgn0186918	dgri-FBgn0114776	dmoj-FBgn0129613
dmel-FBgn0033690	dana-FBgn0142116	dvir-FBgn0089674	dpse-FBgn0207078	dsec-FBgn0245996	dwil-FBgn0175263	dper-FBgn0225178	dyak-FBgn0151045	dsim-FBgn0148692	dere-FBgn0162314	dgri-FBgn0231139	dmoj-FBgn0270113
dmel-FBgn0033691	dana-FBgn0141411	dvir-FBgn0144263	dpse-FBgn0089703	dsec-FBgn0097423	dwil-FBgn0203191	dper-FBgn0208807	dyak-FBgn0072874	dsim-FBgn0245701	dere-FBgn0174685	dgri-FBgn0177846	dmoj-FBgn0175262
dmel-FBgn0033692	dana-FBgn0143322	dvir-FBgn0089859	dpse-FBgn0207904	dsec-FBgn0072145	dwil-FBgn0176221	dper-FBgn0224157	dyak-FBgn0148415	dsim-FBgn0230157	dere-FBgn0187069	dgri-FBgn0112444	dmoj-FBgn0130248
dmel-FBgn0033693	dana-FBgn0143323	dvir-FBgn0089860	dpse-FBgn0207906	dsec-FBgn0245888	dwil-FBgn0176222	dper-FBgn0224158	dyak-FBgn0148416	dsim-FBgn0230159	dere-FBgn0187072	dgri-FBgn0112445	dmoj-FBgn0130249
dmel-FBgn0033696	dana-FBgn0141690	dvir-FBgn0089119	dpse-FBgn0081361	dsec-FBgn0175260	dwil-FBgn0224104	dper-FBgn0148875	dyak-FBgn0231136	dsim-FBgn0186909	dere-FBgn0114769	dgri-FBgn0130439	dmoj-GI18951
dmel-FBgn0033697	dana-FBgn0089863	dvir-FBgn0207911	dpse-FBgn0081080	dsec-FBgn0176225	dwil-FBgn0224162	dper-FBgn0148419	dyak-FBgn0230161	dsim-FBgn0187074	dere-FBgn0112449	dgri-FBgn0130253	
dmel-FBgn0033698	dana-FBgn0141689	dvir-FBgn0089118	dpse-FBgn0208676	dsec-FBgn0081360	dwil-FBgn0175259	dper-FBgn0224103	dyak-FBgn0148874	dsim-FBgn0231135	dere-FBgn0197134	dgri-FBgn0114768	dmoj-FBgn0130438
dmel-FBgn0033699	dana-FBgn0141688	dvir-FBgn0089116	dpse-FBgn0208675	dsec-FBgn0081359	dwil-FBgn0175258	dper-FBgn0224102	dyak-FBgn0148873	dsim-FBgn0068208	dere-FBgn0186908	dgri-FBgn0114767	dmoj-FBgn0130437
dmel-FBgn0033701	dana-FBgn0089864	dvir-FBgn0176227	dpse-FBgn0221417	dsec-FBgn0230163	dwil-FBgn0187076	dper-FBgn0112451	dyak-GE12419	dsim-GD15409	dere-GG20260		
dmel-FBgn0033702	dana-FBgn0141687	dvir-FBgn0089115	dpse-FBgn0208674	dsec-FBgn0246050	dwil-FBgn0175256	dper-FBgn0224101	dyak-FBgn0148871	dsim-FBgn0231134	dere-FBgn0186905	dgri-FBgn0114763	dmoj-FBgn0130436
dmel-FBgn0033703	dana-FBgn0143327	dvir-FBgn0089865	dpse-FBgn0207912	dsec-FBgn0072144	dwil-FBgn0176228	dper-FBgn0224165	dyak-FBgn0148420	dsim-FBgn0230164	dere-FBgn0187077	dgri-FBgn0130254	dmoj-GI20592
dmel-FBgn0033705	dana-FBgn0143328	dvir-FBgn0089867	dpse-FBgn0207915	dsec-FBgn0245889	dwil-FBgn0176230	dper-FBgn0224167	dyak-FBgn0148422	dsim-FBgn0230166	dere-FBgn0182610	dgri-FBgn0112454	dmoj-FBgn0130256
dmel-FBgn0033706	dana-FBgn0141272	dvir-FBgn0089868	dpse-FBgn0208528	dsec-FBgn0072140	dwil-FBgn0176231	dper-FBgn0224100	dyak-FBgn0148423	dsim-FBgn0230167	dere-FBgn0182611	dgri-FBgn0112455	dmoj-FBgn0130212
dmel-FBgn0033708	dana-FBgn0141686	dvir-FBgn0089113	dpse-FBgn0208673	dsec-FBgn0246048	dwil-FBgn0175254	dper-FBgn0223404	dyak-FBgn0224098	dsim-FBgn0148869	dere-FBgn0231132	dgri-FBgn0197132	dmoj-FBgn0114761
dmel-FBgn0033710	dana-FBgn0143334	dvir-FBgn0089873	dpse-FBgn0207920	dsec-FBgn0245892	dwil-FBgn0176236	dper-FBgn0223878	dyak-FBgn0148428	dsim-FBgn0230171	dere-FBgn0182615	dgri-FBgn0112461	dmoj-FBgn0130261
dmel-FBgn0033712	dana-FBgn0143337	dvir-FBgn0089876	dpse-FBgn0207924	dsec-FBgn0072137	dwil-FBgn0176240	dper-FBgn0223881	dyak-FBgn0148432	dsim-FBgn0230174	dere-FBgn0182617	dgri-FBgn0112464	dmoj-FBgn0130264
dmel-FBgn0033713	dana-FBgn0089111	dvir-FBgn0208669	dpse-FBgn0081349	dsec-FBgn0175251	dwil-FBgn0223401	dper-FBgn0148867	dyak-FBgn0231130	dsim-FBgn0197129	dere-FBgn0114759	dgri-FBgn0130434	
dmel-FBgn0033715	dana-FBgn0281505	dvir-FBgn0096823	dpse-FBgn0207926	dsec-FBgn0081101	dwil-FBgn0224115	dper-FBgn0148865	dyak-FBgn0230177	dsim-FBgn0182620	dere-FBgn0187171	dgri-FBgn0112466	dmoj-FBgn0130267
dmel-FBgn0033716	dana-FBgn0141200	dvir-FBgn0143919	dpse-FBgn0096825	dsec-FBgn0207927	dwil-FBgn0081104	dper-FBgn0176243	dyak-FBgn0224151	dsim-FBgn0148434	dere-FBgn0230180	dgri-FBgn0182622	dmoj-FBgn0112468
dmel-FBgn0033717	dana-FBgn0141199	dvir-FBgn0089110	dpse-FBgn0208667	dsec-FBgn0081348	dwil-FBgn0175250	dper-FBgn0224114	dyak-FBgn0148864	dsim-FBgn0231129	dere-FBgn0197128	dgri-FBgn0114758	dmoj-FBgn0130432
dmel-FBgn0033720	dana-FBgn0141790	dvir-FBgn0089884	dpse-FBgn0089883	dsec-FBgn0207161	dwil-FBgn0072135	dper-FBgn0246183	dyak-FBgn0176252	dsim-FBgn0176251	dere-FBgn0216804	dgri-FBgn0225119	dmoj-FBgn0149236
dmel-FBgn0033723	dana-FBgn0143221	dvir-FBgn0089109	dpse-FBgn0209450	dsec-FBgn0072130	dwil-FBgn0175249	dper-FBgn0212971	dyak-FBgn0148054	dsim-FBgn0068448	dere-FBgn0197127	dgri-FBgn0114757	dmoj-FBgn0128661
dmel-FBgn0033724	dana-FBgn0281021	dvir-FBgn0089888	dpse-FBgn0282697	dsec-FBgn0282672	dwil-FBgn0207165	dper-FBgn0081110	dyak-FBgn0176256	dsim-FBgn0149240	dere-FBgn0230192	dgri-FBgn0182635	dmoj-FBgn0112479
dmel-FBgn0033725	dana-FBgn0141795	dvir-FBgn0089889	dpse-FBgn0207166	dsec-FBgn0176257	dwil-FBgn0224891	dper-FBgn0149241	dyak-FBgn0230193	dsim-FBgn0182636	dere-FBgn0112481	dgri-FBgn0128158	dmoj-GI19056
dmel-FBgn0033726	dana-FBgn0143220	dvir-FBgn0089107	dpse-FBgn0209448	dsec-FBgn0081345	dwil-FBgn0175248	dper-FBgn0225239	dyak-FBgn0148053	dsim-FBgn0231127	dere-FBgn0197126	dgri-FBgn0114756	dmoj-FBgn0128660
dmel-FBgn0033727	dana-FBgn0141796	dvir-FBgn0089890	dpse-FBgn0207167	dsec-FBgn0083534	dwil-FBgn0072132	dper-FBgn0176259	dyak-FBgn0224892	dsim-FBgn0148704	dere-FBgn0149242	dgri-FBgn0230194	dmoj-FBgn0182637
dmel-FBgn0033728	dana-FBgn0141797	dvir-FBgn0089891	dpse-FBgn0207168	dsec-FBgn0081113	dwil-FBgn0176261	dper-FBgn0224893	dyak-FBgn0149243	dsim-FBgn0230196	dere-FBgn0182640	dgri-FBgn0112484	dmoj-FBgn0128161
dmel-FBgn0033729	dana-FBgn0141798	dvir-FBgn0089892	dpse-FBgn0207169	dsec-FBgn0081116	dwil-FBgn0176262	dper-FBgn0224894	dyak-FBgn0149244	dsim-FBgn0230197	dere-FBgn0182641	dgri-FBgn0112485	dmoj-FBgn0128162
dmel-FBgn0033730	dana-FBgn0141799	dvir-FBgn0089893	dpse-FBgn0207171	dsec-FBgn0081117	dwil-FBgn0176263	dper-FBgn0224895	dyak-FBgn0149245	dsim-FBgn0230198	dere-FBgn0182642	dgri-FBgn0112486	dmoj-FBgn0128163
